"//  COLOR KEY:\n// GREEN is READY FOR TRANSLATION\n// YELLOW is IN PROGRESS, DON'T TRANSLATE\n// RED is UNUSED, DON'T TRANSLATE\n//PURPLE NEEDS UPDATE (pls change to blue after update)\n//BLUE is UPDATED TEXTS",,
"menu_startgame","Start Game","開始遊戲"
"feedback_text","Write something","寫點什麼吧"
"feedback_send","Send","發送"
"feedback_bug","Bug","臭蟲"
"feedback_feedback","Feedback","回饋"
"feedback_idea","Idea","想法"
,,
,,
"error_incompatibleversion","Incompatible version","不相容的版本"
"error_failedconnect","Failed to connect","連接失敗"
"error_disconnected","Disconnected","已斷開連接"
"error_password","Wrong password","密碼錯誤"
"error_banned","Banned","你被封鎖"
"error_alreadyconnected","Already connected","已經連接"
"error_serverfull","Server full","伺服器已滿"
,,
,,
"settings_language","Language","語言"
"settings_misc","Misc","其他"
"settings_requirerestart","Requires restart","需要重啟"
"settings_controls","Controls","操作"
"settings_graphics","Graphics","圖形"
"settings_audio","Audio","音效"
"settings_resetcontrols","Reset Controls","重設控制"
"settings_mousesens","Mouse Sensitivity","滑鼠靈敏度"
"settings_attack","Attack","攻擊"
"settings_draw","Draw","拉弓"
"settings_secondaryattack","Secondary Attack","次要攻擊"
"settings_block","Block","格擋"
"settings_dodge","Dodge","閃避"
"settings_use","Use","使用"
"settings_gp","Forsaken Power","放逐之力"
"settings_hide","Hide/Show Weapon","隱藏/顯示武器"
"settings_jump","Jump","跳躍"
"settings_run","Run","奔跑"
"settings_sit","Sit","坐下"
"settings_autorun","Auto-Run","自動奔跑"
"settings_walk","Toggle Walk","切換行走"
"settings_crouch","Crouch","蹲下"
"settings_altplace","Alternative Placement","切換放置模式"
"settings_forward","Forward","前進"
"settings_left","Left","向左"
"settings_backward","Backward","後退"
"settings_right","Right","向右"
"settings_invertmouse","Invert Mouse","反轉滑鼠"
"settings_gamepadenabled","Gamepad Enabled","啟用控制器"
"settings_inventory","Inventory","背包"
"settings_map","Map","地圖"
"settings_zoomout","Zoom Out","縮小"
"settings_zoomin","Zoom In","放大"
"settings_buildnext","Next Build Item","下一個建造物品"
"settings_buildprev","Prev Build Item","上一個建造物品"
"settings_buildcat","Build Category","建造類別"
"settings_remove","Deconstruct","拆除"
"settings_buildmenu","Build Menu","建造選單"
"settings_mastervol","Volume","音量"
"settings_musicvol","Music Volume","音樂音量"
"settings_continousmusic","Continuous Music","音樂循環"
"settings_dof","Depth of Field (DOF)","景深（DOF）"
"settings_camerashake","Camera Shake","鏡頭晃動"
"settings_shipcameratilt","Immersive Ship Camera","沉浸式船用攝影機"
"settings_quickselect","Right-Click Build Selection","右鍵點擊建造選項"
"settings_showkeyhints","Show Key Hints","顯示按鍵提示"
"settings_guiscale","Scale GUI","縮放圖形界面"
"settings_guicale_note","Minimum screen resolution 2560x1440","最低螢幕解析度2560x1440"
"settings_bloom","Bloom","泛光"
"settings_ssao","SSAO","SSAO"
"settings_sunshafts","Sun Shafts","光照"
"settings_motionblur","Motion Blur","動態模糊"
"settings_tesselation","Tessellation","曲面細分"
"settings_antialiasing","Anti-Aliasing","反鋸齒"
"settings_ca","Chromatic Aberration","色差"
"settings_vsync","VSync","垂直同步"
"settings_shadowquality","Shadow Quality","陰影品質"
"settings_vegetation","Vegetation Quality","植被品質"
"settings_lod","Draw Distance/Level of Detail","繪製距離/詳細程度"
"settings_lights","Particle Lights","粒子光照"
"settings_softpart","Soft Particles","軟粒子"
"settings_low","Low","低"
"settings_medium","Medium","中"
"settings_high","High","高"
"settings_res","Resolution","解析度"
"settings_fullscreen","Fullscreen","全螢幕"
"settings_apply","Apply","應用"
"settings_test","Test","測試"
"settings_resok","Does this work correctly?","運作正常嗎？"
,,
,,
"button_mouse0","Mouse-1","滑鼠左鍵"
"button_mouse1","Mouse-2","滑鼠右鍵"
"button_mouse2","Mouse-3","滑鼠中鍵"
"button_space","Space","空格"
"button_lshift","L-Shift","左Shift"
"button_rshift","R-Shift","右Shift"
"button_lalt","L-Alt","左Alt"
"button_ralt","R-Alt","右Alt"
"button_lctrl","L-Ctrl","左Ctrl"
"button_rctrl","R-Ctrl","右Ctrl"
"button_return","Return","Enter"
,,
,,
"chat_entertext","Enter text...","輸入文字……"
"chat_kill","Kill yourself","自殺"
"chat_resetspawn","Reset spawn point","重設重生點"
"chat_whisper","Whisper","密語"
"chat_shout","Shout","大喊"
,,
,,
"hud_showmap","Show map","顯示地圖"
"hud_hidemap","Hide map","隱藏地圖"
"hud_addpin","Add pin","增加標記"
"hud_removepin","Remove pin","移除標記"
"hud_zoom","Zoom","縮放"
"hud_publicpos","Visible to other players","對其他玩家公開位置"
"hud_build","Build","建造"
"hud_require","Require","需求"
"hud_misc","Misc","其他"
"hud_crafting","Crafting","工藝合成"
"hud_building","Building","建材"
"hud_furniture","Furniture","家具"
"hud_repair","Repair","修理"
"hud_switchcategory","Switch category","切換類別"
"hud_switchitem","Switch item","切換物品"
"hud_place","Place","放置"
"hud_remove","Remove","移除"
"hud_rotate","Rotate","旋轉"
"OLD hud_altplace","Alternative placement","替代放置"
"hud_altplace","Toggle snapping / options","切換自動對齊/手動對齊"
"hud_nothingtobuild","Nothing to build","沒有東西可以建造"
"hud_buildmenu","Build menu","建造選單"
"hud_tame","Tame","馴養"
"hud_wild","Wild","野生"
"hud_pet","Pet","撫摸"
"hud_tameness","Tameness","馴化"
"hud_tamecheck","Check","觀察"
"hud_tamelove","loves you","愛上你"
"hud_tamefollow","follows you","跟隨你"
"hud_tamestay","stays","留下"
"hud_tamefrightened","Frightened","不安的"
"hud_tamehungry","Hungry","餓了"
"hud_tameinprogress","Acclimatizing","正在適應環境"
"hud_tamedone","has been tamed","已被馴服"
"hud_tamehappy","Happy","開心"
"hud_ready","Ready","準備就緒"
"hud_powernotready","Power not ready","技能在冷却"
"hud_equipping","Equipping","裝備中"
"hud_unequipping","Unequipping","解除裝備中"
,,
,,
"inventory_splitstack","Split stack","拆分"
"inventory_crafting","Crafting","製作中"
"inventory_craftingprog","Crafting","製作中"
"inventory_recipes","Recipes","配方"
"inventory_craftbutton","Craft","製作"
"inventory_upgradebutton","Upgrade","升級"
"inventory_full","Inventory full","背包已滿"
"inventory_stationlevel","Station level (Raise by building improvements)","工作檯等級（通過建造改善設備升級）"
"OLD inventory_stationlevel","Station level",
"OLD inventory_stationlevelreq","Required improvements",
"inventory_stationlevelreq","Required station level","工作檯等級太低"
"inventory_maxquality","Max quality","最高品質"
"inventory_style","Style","風格"
"inventory_skills","Skills","技能"
"inventory_totalskill","Total skill","總技能數"
"inventory_new","New item","新物品"
"inventory_upgrade","Upgrade $1 quality to $2","將 $1 品質升級到 $2"
"OLD inventory_upgrade","Upgrade item","升級物品"
"inventory_repairbutton","Repair an item","修復物品"
"inventory_pvp","Take damage from other players (PVP)","可被其他玩家攻擊（PVP）"
"inventory_takeall","Take all","全部拿取"
"inventory_use","Use/Equip","使用/裝備"
"inventory_pickup","Pick up","撿起"
"inventory_split","Split","拆分"
"inventory_move","Move","移動"
"inventory_trophies","Trophies","戰利品"
"inventory_quality","Quality","品質"
"inventory_damage","Damage","傷害"
"inventory_blunt","Blunt","錘擊"
"inventory_slash","Slash","劈砍"
"inventory_pierce","Pierce","戳刺"
"inventory_chop","Chop","切剁"
"inventory_pickaxe","Pickaxe","鎬"
"inventory_fire","Fire","火焰"
"inventory_frost","Frost","冰霜"
"inventory_lightning","Lightning","閃電"
"inventory_poison","Poison","蠱毒"
"inventory_spirit","Spirit","精神"
"inventory_dmgmod","Damage modifier","護甲加成"
"inventory_immune","Immune","免疫"
"inventory_resistant","Resistant","抗性"
"inventory_veryresistant","Very resistant","超強抗性"
"inventory_weak","Weak","虛弱"
"inventory_veryweak","Very weak","非常虛弱"
"inventory_texts","Valheim Compendium","Valheim 手冊"
"inventory_activeeffects","Active effects","啟用中效果"
"inventory_logs","Message log","訊息記錄"
"inventory_selectedgp","Selected Forsaken power","已選擇放逐之力"
,,
,,
"store_topic","Store","商店"
"store_buy","Buy","買"
"store_sell","Sell","賣"
,,
,,
"msg_worldsaved","World saved","世界已保存"
"msg_missingrequirement","Missing requirement","缺少要求的物品"
"msg_wrongtool","Wrong tool","錯誤的工具"
"msg_missingstation","Missing required crafting station","缺少要求的工作檯"
"msg_nobuildzone","A mystical force in this area stops you","這片區域的神秘力量阻止了你"
"msg_privatezone","The ward stops you","守護石阻止了你"
"msg_noteleportarea","Can only be built inside a stone circle","只能在虚線圈内建造。"
"msg_notindungeon","Can't be placed in a dungeon","無法在副本中放置"
"msg_blocked","Blocked","此區域被擋住了"
"msg_invalidplacement","Invalid placement","無效的放置"
"msg_needspace","Needs more space","需要更多空間"
"msg_extensionmissingstation","Needs to be placed near the appropriate crafting station","需要被放置在相應的工作檯附近"
"msg_wrongbiome","Can't be placed in this environment","無法在此環境中放置"
"msg_needcultivated","Needs cultivated soil","需要被開墾過的土壤"
"msg_cantremovenow","That can't be removed at this time","目前無法移除"
"msg_youdied","YOU DIED!","你死了！"
"msg_softdeath","The gods are merciful","眾神慈悲"
"msg_repaired","Repaired $1","已修復 $1"
"msg_doesnotneedrepair","does not need repairs","不需要修復"
"msg_cantconsume","You can't consume that right now","你現在不能消耗此物品"
"msg_isfull","You are full already","你已經飽了"
"msg_nomore","You can't eat more $1","你無法再吃更多 $1"
"msg_added","Added","已添加"
"msg_removed","Removed","已移除"
"msg_broke_OLD","broke","已破壞"
"msg_outof","You are out of","你用光了"
"msg_cantpickup","You can't pick that up","你無法撿起該物品"
"msg_noroom","No room in inventory","背包沒有空間"
"msg_cantdrop","You can't drop that","你無法丟棄該物品"
"msg_dropped","Dropped","已丟棄"
"msg_cantuseon","You can't use $1 on $2","無法在 $2 上使用 $1"
"msg_useonwhat","Use $1 on what?","要把 $1 用在哪裡？"
"msg_stationneedroof","Crafting station needs a roof","工作檯需要屋頂"
"msg_stationtooexposed","Station is too exposed","工作檯過於暴露"
"msg_bedneedroof","Bed needs a roof","床鋪需要屋頂"
"msg_bedtooexposed","Bed is too exposed","床鋪過於暴露"
"msg_bednofire","Bed needs a nearby fire","床鋪需要靠近營火"
"msg_bedwet","You are wet","你渾身溼答答的"
"msg_bedenemiesnearby","There are enemies nearby","附近有敵人"
"msg_spawnpointset","Spawn point set","復活點已設定"
"msg_cantopen","You can't open it","你無法打開它"
"msg_nocookitems","You don't have any cookable items","你沒有任何可以烹飪的物品"
"msg_needfire","You need to have a lit fire under the cooking station","你需要在烹飪檯下方生火"
"msg_nocookroom","There is no room","沒有空間"
"msg_cantaddmore","You can't add more $1","你無法再添加 $1"
"msg_fireadding","Adding $1 to the fire","在火中加入 $1"
"msg_firenotburning","It's not burning","尚未燃燒"
"msg_toofew","Too few","太少了"
"msg_wrongitem","Wrong item","錯誤物品"
"msg_fireportalalready","Portal already activated","傳送門已啟動"
"msg_throwinfire","You throw some $1 into the fire","你將一些 $1 扔進火中"
"msg_noprocessableitems","You don't have any processable items","你沒有任何可以加工的物品"
"msg_wontwork","That won't work","不起作用"
"msg_itsfull","It's full","滿了"
"msg_wrongitem","Wrong item","錯誤物品"
"msg_donthaveany","You don't have any","你身上沒有"
"msg_newtrophy","Trophy collected","已收集戰利品"
"msg_newitem","New item","新物品"
"msg_newmaterial","New material","新材料"
"msg_newstation","New crafting station","新工作檯"
"msg_newstation_level","New station level","新工作檯等級"
"msg_level","level","等級"
"msg_newpiece","New build piece","新的建造物品"
"msg_newrecipe","New crafting recipe","新製作配方"
"msg_cantoffer","Your offering is not answered","你的獻祭沒有得到回應"
"msg_cantsleep","You can't sleep at this time","還無法入睡"
"msg_goodnight","Good night","晚安"
"msg_goodmorning","Good morning","早安"
"msg_food_done","You could eat another bite","可以吃下更多食物了"
"msg_toohard","Too hard","太硬了"
"msg_blocked","Blocked","被擋住"
"msg_skillup","Skill improved","技能已提升"
"msg_noteleport","An item prevents you from teleporting","有物品阻止你進入傳送門"
"msg_pin_exist","Map location already added","地圖位置已添加過了"
"msg_pin_added","Map location added","地圖位置已添加"
"msg_door_needkey","Need key: $1","需要鑰匙： $1"
"msg_door_usingkey","Using key: $1","使用鑰匙： $1"
"msg_portal_blocked","Blocked","被擋住"
"msg_skills_lowered","Skills lowered","技能已降低"
"msg_biome_found","Discovered $1","發現了 $1"
"msg_walk","Walk","行走"
"msg_sold","Sold $1 for $2","以 $2 賣出 $1"
"msg_incompleteoffering","Incomplete offering","祭品不完整"
"msg_offerdone","You make the sacrifice","你做出了獻祭"
"msg_offerwrong","Nothing happens","什麼事都沒發生"
"msg_missingitem","You don't have the correct item","你沒有正確的物品"
"msg_newday","Day $1","第 $1 天"
"msg_newtext","$1 added to the compendium","$1 已添加到手冊"
"msg_pvpon","PVP-damage enabled","開啟PVP傷害"
"msg_pvpoff","PVP-damage disabled","關閉PVP傷害"
"msg_inuse","Someone else is using it","有人正在使用"
"msg_broke","$1 broke","$1 已損壞"
"msg_fishing_hooked","Hooked","上鉤了"
"msg_fishing_linebroke","Line broke","線已損壞"
"msg_fishing_catched","Caught","抓住了"
"msg_fishing_lost","Lost catch","錯失機會"
"msg_dlcrequired","DLC required","需要DLC"
,,
,,
"biome_forest","Forest","森林"
"biome_meadows","Meadows","青青草原"
"biome_swamp","Swamp","泥濘沼澤"
"biome_mountain","Mountain","凜冽雪山"
"biome_blackforest","Black forest","黑暗森林"
"biome_heath","Heath","荒野"
"biome_plains","Plains","北境平原"
"biome_ashland","Ashlands","灰燼之地"
"biome_deepnorth","Deep North","北方深境"
"biome_edge","Edge of the World","世界盡頭"
"biome_ocean","Ocean","無盡之海"
"biome_darklands","Darklands","極黑之地"
"biome_mistlands","Mistlands","迷霧之地"
,,
,,
"location_enter","Enter","進入"
"location_exit","Exit","離開"
"location_forestcrypt","Burial chambers","詭秘墓穴"
"location_sunkencrypt","Sunken crypts","地下聖堂"
"location_forestcave","Troll cave","巨魔洞穴"
,,
,,
"piece_use","Use","使用"
"piece_useitem","Use item","使用物品"
"piece_toofar","Too far","距離太遠了"
"piece_itemstand","Item stand","物品架"
"piece_itemstand_take","Take item","拿走物品"
"piece_itemstand_attach","Attach item","放置及固定物品"
"piece_itemstand_cantattach","You can't attach this item","你無法放置及固定此物品"
"piece_itemstand_missingitem","Missing required item","缺少必須的物品"
"piece_door_open","Open","打開"
"piece_door_close","Close","關閉"
"piece_noaccess","No access","無法進入"
"piece_container_empty","EMPTY","空"
"piece_container_open","Open","打開"
"piece_bed_unclaimed","Unclaimed bed","無人認領的床鋪"
"piece_bed_claim","Claim","認領"
"piece_bed","Bed","床鋪"
"piece_bed_currentspawn","Current spawn point","目前重生點"
"piece_bed_setspawn","Set spawn point","設定重生點"
"piece_bed_sleep","Sleep","睡覺"
"piece_cstand_cook","Cook item","烹飪食材"
"piece_fire_fuel","Fuel","加入燃料"
"piece_fire","Fire","火"
"piece_guardstone_active","Active","保護中"
"piece_guardstone_inactive","Inactive","未啟用保護"
"piece_guardstone_owner","Owner","擁有者"
"piece_guardstone_additional","Permitted","已授權"
"piece_guardstone_add","Opt-in","加入"
"piece_guardstone_remove","Opt-out","退出"
"piece_guardstone_deactivate","Deactivate","停止保護"
"piece_guardstone_activate","Activate","啟用保護"
"piece_sign_input","Enter text","輸入文字"
"piece_beehive_area","The bees don't like this biome","蜜蜂不喜歡這個生物群落"
"piece_beehive_freespace","The bees need more open space","蜜蜂需要更開闊的空間"
"piece_beehive_sleep","The bees are sleeping","蜜蜂在睡覺"
"piece_beehive_happy","The bees are happy","蜜蜂很舒適"
"piece_beehive_extract","Extract","取出"
"piece_beehive_check","Check bees","查看蜜蜂"
"piece_rune_read","Read","閱讀"
"piece_smelter_add","Add","添加"
"piece_smelter_additem","Add item","添加物品"
"piece_smelter_empty","Empty","空"
"piece_smelter_ready","Processed","已加工"
"piece_smelter_reqroof","Requires a roof","需要一個屋頂"
"piece_plant_healthy","Healthy","健康"
"piece_plant_nosun","Needs an open sky","需要廣闊的天空"
"piece_plant_nospace","Needs more room to grow","需要更多的空間才能成長"
"piece_plant_wrongbiome","Can't grow in this environment","無法在這個環境中成長"
"piece_plant_notcultivated","Needs cultivated ground","需要被開墾過的土地"
"piece_upgrade","improvement","改善"
"piece_craftingstation","Crafting station","工作檯"
"piece_fermenter","Fermenter","發酵桶"
"piece_fermenter_ready","Done","完成"
"piece_fermenter_tap","Tap","打開龍頭"
"piece_fermenter_fermenting","Fermenting","發酵中"
"piece_fermenter_add","Add item","添加物品"
"piece_fermenter_exposed","Too exposed","過於暴露"
"piece_vegvisir","Vegvisir","定位石"
"piece_register_location","Register location","標記位置"
"piece_ship_rudder","Use rudder","使用船舵"
"piece_sign","Sign","標記"
"piece_charcoalkiln","Charcoal kiln","木炭窯"
"piece_cultivate","Cultivate","開墾"
"piece_firepit","Campfire","營火"
"piece_bonfire","Bonfire","篝火"
"piece_forge","Forge","鍛造檯"
"piece_forge_ext1","Forge bellows","鍛造風箱"
"piece_forge_ext2","Anvils","鐵砧"
"piece_forge_ext3","Grinding wheel","砂輪"
"piece_forge_ext4","Smith's anvil","鍛造師的鐵砧"
"piece_forge_ext5","Forge cooler","冷卻桶"
"piece_forge_ext6","Forge toolrack","熔爐工具架"
"piece_guardstone","Ward","守護石"
"piece_guardstone_description","Emits a magic seal on the nearby surroundings that prevents other players from constructing buildings or opening doors.","在附近的環境中開啟魔法結界，以防止其他玩家隨意建造或開門。"
"piece_hearth","Hearth","灶"
"piece_irongate","Iron gate","鐵門"
"piece_levelground","Level ground","鋤平地面"
"piece_pavedroad","Paved road","平整的道路"
"piece_path","Pathen","鋪平"
"piece_replant","Grass","草"
"piece_beehive","Beehive","蜂房"
"piece_cauldron","Cauldron","鑄鐵鍋"
"piece_stool","Stool","木凳"
"piece_throne01","Raven throne","烏鴉王座"
"piece_chest","Reinforced chest","改良式儲藏箱"
"piece_chestprivate","Personal chest","個人儲藏箱"
"piece_chestwood","Chest","儲藏箱"
"piece_cookingstation","Cooking station","烹飪檯"
"piece_groundtorch","Standing iron torch","鐵鑄火炬"
"piece_groundtorchgreen","Standing green-burning iron torch","鐵鑄綠光火炬"
"piece_groundtorchwood","Standing wood torch","木製火炬"
"piece_repair","Repair","修復"
"piece_stonecutter","Stonecutter","切石機"
"piece_table","Table","桌子"
"piece_sconce","Sconce","壁燈"
"piece_workbench","Workbench","工作檯"
"piece_workbench_ext1","Chopping block","劈柴墩"
"piece_workbench_ext2","Tanning rack","皮革架"
"piece_workbench_ext3","Adze","扁斧"
"piece_workbench_ext4","Tool shelf","工具架"
"piece_artisanstation","Artisan table","工匠檯"
"piece_portal","Portal","傳送門"
"piece_portal_description","Connects to another portal with equal or no tag.","可以與另一個相同或沒有咒文的傳送門連接"
"piece_portal_connected","CONNECTED","已連接"
"piece_portal_unconnected","UNCONNECTED","未連接"
"piece_portal_tag","Tag","咒文"
"piece_portal_settag","Set tag","更變咒文"
"piece_raise","Raise ground","升高地面"
"piece_rug_deer","Deer rug","鹿皮地毯"
"piece_rug_wolf","Wolf rug","狼皮地毯"
"piece_rug_lox","Lox rug","平原氂牛皮地毯"
"piece_sapling_barley","Barley","大麥"
"piece_sapling_flax","Flax","亞麻"
"piece_sapling_turnip","Turnip","大頭菜"
"piece_sapling_seedturnip","Seed-turnip","種子-大頭菜"
"piece_sapling_seedturnip_description","Plant a turnip to get more seeds.","種植大頭菜以獲得更多種子"
"piece_sapling_carrot","Carrot","胡蘿蔔"
"piece_sapling_carrot_description","Plant carrot seeds to grow carrots.","種植胡蘿蔔種子以獲得胡蘿蔔"
"piece_sapling_seedcarrot","Seed-carrot","種子-胡蘿蔔"
"piece_sapling_seedcarrot_description","Plant a carrot to get more seeds.","種植胡蘿蔔以獲得更多的種子"
"piece_smelter","Smelter","冶煉爐"
"piece_blastfurnace","Blast furnace","高溫熔爐"
"piece_windmill","Windmill","風車"
"piece_stakewall","Stakewall","尖木樁圍牆"
"piece_stonearch","Stone arch","石拱"
"piece_stonefloor4x4","Stone floor 4x4","石地板 4x4"
"piece_stonefloor2x2","Stone floor 2x2","石地板 2x2"
"piece_stonepillar","Stone pillar","石柱"
"piece_stonestair","Stone stair","石梯"
"piece_stonewall1x1","Stone wall 1x1","石牆 1x1"
"piece_stonewall2x1","Stone wall 2x1","石牆 2x1"
"piece_stonewall4x2","Stone wall 4x2","石牆 4x2"
"piece_woodbeam1","Wood beam 1m","木樑 1m"
"piece_woodbeam2","Wood beam 2m","木樑 2m"
"piece_woodbeam26","Wood beam 26°","木樑 26°"
"piece_woodbeam45","Wood beam 45°","木樑 45°"
"piece_wooddoor","Wood door","木門"
"piece_wooddragon","Wood dragon adornment","木製龍頭裝飾"
"piece_woodfence","Roundpole fence","圓柱形籬笆"
"piece_woodfloor2x2","Wood floor 2x2","木地板 2x2"
"piece_woodfloor1x1","Wood floor 1x1","木地板 1x1"
"piece_woodgate","Wood gate","木製大門"
"piece_woodledge","Wood ledge","木製壁架"
"piece_woodpole","Wood pole 1m","圓形木樁 1m"
"piece_woodpole2","Wood pole 2m","圓形木樁 2m"
"piece_woodroof26","Thatch roof 26°","茅草屋頂 26°"
"piece_woodroof45","Thatch roof 45°","茅草屋頂 45°"
"piece_woodrooficorner","Thatch roof i-corner 26°","向內轉角茅草屋頂 26°"
"piece_woodrooficorner45","Thatch roof i-corner 45°","向內轉角茅草屋頂 45°"
"piece_woodroofocorner","Thatch roof o-corner 26°","向外轉角茅草屋頂 26°"
"piece_woodroofocorner45","Thatch roof o-corner 45°","向外轉角茅草屋頂 45°"
"piece_woodrooftop","Thatch roof ridge 26°","茅草屋頂梁 26°"
"piece_woodrooftop45","Thatch roof ridge 45°","茅草屋頂梁 45°"
"piece_woodstack","Wood stack","木材堆"
"piece_woodstair","Wood stair","木製樓梯"
"piece_woodstepladder","Wood ladder","木製梯子"
"piece_woodwallhalf","Wood wall half","半塊木牆"
"piece_woodwallroof","Wood wall 26°","木牆 26°"
"piece_woodwallroof45","Wood wall 45°","木牆 45°"
"piece_woodwallrooftop","Wood roof cross 26°","十字形木頂板 26°"
"piece_woodwallrooftop45","Wood roof cross 45°","十字形木頂板 45°"
"piece_woodironbeam","Wood iron beam","鐵固木樑"
"piece_woodironpole","Wood iron pole","鐵固木樁"
"piece_woodwall","Wood wall","木牆"
"piece_logbeam2","Log beam 2m","圓形木樑 2m"
"piece_logbeam4","Log beam 4m","圓形木樑 4m"
"piece_logpole2","Log pole 2m","圓形木樁 2m"
"piece_logpole4","Log pole 4m","圓形木樁 4m"
"piece_stonepile","Stone pile","石頭堆"
"piece_chair","Chair","椅子"
"piece_bed02","Dragon bed","龍床"
"piece_bench01","Bench","長椅"
"piece_brazierceiling01","Hanging brazier","吊火盆"
"piece_banner01","Black banner","黑色旗幟"
"piece_banner02","Blue banner","藍色旗幟"
"piece_banner03","White and red striped banner","紅白條紋旗幟"
"piece_banner04","Red banner","紅色旗幟"
"piece_banner05","Green banner","綠色旗幟"
"piece_sharpstakes","Sharp stakes","尖木樁防護柵欄"
"piece_spinningwheel","Spinning wheel","紡車"
"piece_offerbowl_makeoffer","Make offering","準備獻祭"
"piece_offerbowl_offeritem","Offer item","獻上物品"
"piece_mudpile","Muddy scrap pile","廢料泥堆"
"piece_tombstone","Here rests","這裡安葬著"
"piece_tombstone_recovered","Items recovered","物品已全部拾起"
"piece_deposit_tin","Tin deposit","錫礦脈"
"piece_deposit_copper","Copper deposit","銅礦脈"
"piece_deposit_obsidian","Obsidian deposit","黑曜石礦脈"
"piece_deposit_silver","Silver deposit","銀礦脈"
,,
,,
"item_quality","Quality","品質"
"item_dlc","DLC item","DLC物品"
"item_durability","Durability","耐久力"
"item_repairlevel","Repair station level","修復物品所需工作檯等級"
"item_weight","Weight","重量"
"item_value","Value","價值"
"item_knockback","Knockback","擊退"
"item_backstab","Backstab","背刺"
"item_armor","Armor","護甲"
"item_blockpower","Block power","格擋"
"item_deflection_OLD","Deflection","反射"
"item_deflection","Parry force","招架力"
"item_parrybonus","Parry bonus","招架獎勵"
"item_food","Food","食物"
"item_food_health","Health","生命力"
"item_food_stamina","Stamina","耐力"
"item_food_duration","Duration","持續"
"item_food_regen","Healing","治療"
"item_noteleport","Can't be teleported","無法傳送"
"item_seteffect","Set effect","設定效果"
"item_parts","parts","部件"
"item_crafter","Crafted by","製作者"
"item_movement_modifier","Movement speed","移動速度"
"item_total","Total","總計"
"item_onehanded","One-handed","單手"
"item_twohanded","Two-handed","雙手"
,,
,,
"item_trophy_eikthyr","Eikthyr trophy","赤血靈鹿戰利品"
"item_trophy_eikthyr_description","This severed head oozes power.\n\nOffer it to the Sacrificial Stones.","你似乎能感到這頭顱裡無形的力量。 \n\n向祭壇獻祭。"
"item_trophy_eikthyr_lore","Once the king of the forest, the size of the antlers are truly impressive.","前森林之王的角，它的尺寸確實讓人驚嘆不而。"
"item_trophy_elder","The Elder trophy","古樹長老戰利品"
"item_trophy_elder_description","This severed head oozes power.\n\nOffer it to the Sacrificial Stones.","這乾癟的頭顱上的死去的皮感覺非常沉重。 \n\n\n向祭壇獻祭。"
"item_trophy_elder_lore","Even in death, it seems to grin with secret knowledge.","即使已經死去，但看起來像在嘲笑著我們的無知。"
"item_trophy_bonemass","Bonemass trophy","邪骨惡靈戰利品"
