Context,English,Chinese_Traditional,Chinese
"dream_moder01","You dream that you are flying over mountaintops, all of Valheim spread out below you.\n\nAs you wheel and dive in the cold air, a great shape soars up past you to block the sun. In the darkness, it speaks. ""Seek me.""","你夢到你在雪山頂飛翔，俯瞰整個瓦爾海姆。 \n\n當你開始在冷風中徘徊，一個巨大的影子遮住了太陽。 它對你說：“找到我。 ”","你梦到你在雪山顶飞翔，俯瞰整个英灵神殿。 \n\n当你开始在冷风中徘徊，一个巨大的影子遮住了太阳。 它对你说：“找到我。 ”"
"dream_random01","You dream of a river running uphill, of green shoots turning downward into the earth…","你夢到了水往高處流，樹往地下走....","你梦到了水往高处流，树往地下走...."
"dream_random02","Once again, you run at the head of your warriors, the weight of your father's axe in your hand.\n\nYou wake with the war-cry on your lips…","你又夢到了你踏著戰士們的頭顱前進，手裡握著你父親的戰斧。 \n\n你在戰爭的吶喊中醒來...","你又梦到了你踏着战士们的头颅前进，手里握着你父亲的战斧。 \n\n你在战争的呐喊中醒来..."
"dream_random03","In your dream, you sit beside a fire in a great hall, surrounded by the chatter of familiar voices.\n\nTheir faces blur like smoke and their names slip your mind, but the warmth of their memory lingers…","在你的夢裡，你坐在一座燈火通明的宮殿裡，周圍都是熟悉的人在笑談。 \n\n但是你卻看不清他們模糊的臉，你已經不記得他們的名字，但是那溫暖的氛圍卻久久縈繞心懷...","在你的梦里，你坐在一座灯火通明的宫殿里，周围都是熟悉的人在笑谈。 \n\n但是你却看不清他们模糊的脸，你已经不记得他们的名字，但是那温暖的氛围却久久萦绕心怀..."
"dream_random04","You stand at the prow of a leaping ship, the salt spray before you and the joyful shriek of gulls above.\n\nFolded within a dream, you remember what it was like to be alive in the land of your birth.","你站在船頭，波濤洶湧，鹹濕的海風迎面而來，海鷗在歡快地鳴叫。 \n\n在夢裡，你回憶起了在你的故鄉活著的感覺。","你站在船头，波涛汹涌，咸湿的海风迎面而来，海鸥在欢快地鸣叫。 \n\n在梦里，你回忆起了在你的故乡活着的感觉。 "
"dream_random05","You dream of a great tree reaching out through the night. One half of its branches crackle with flames, the others are green with leaves.","你夢到了一顆參天大樹在黑夜裡向你走來。 \n它一半已經被火燒裂，而另一半卻生機盎然。","你梦到了一颗参天大树在黑夜里向你走来。 \n它一半已经被火烧裂，而另一半却生机盎然。 "
"dream_yagluth01","In a chamber hung with golden drapes, you kneel before the throne of a veiled king. ""Sleep is but a mask,"" he tells you, lifting the veil slowly.\n\nYou wake screaming.","在一個掛著金色窗簾的大廳裡，你跪在一個蒙著面的國王座前。 “長眠不過只是我的面具。 ”他說道，並緩緩地掀開了他的面紗。 \n\n你在尖叫中醒來。","在一个挂着金色窗帘的大厅里，你跪在一个蒙着面的国王座前。 “长眠不过只是我的面具。 ”他说道，并缓缓地掀开了他的面纱。 \n\n你在尖叫中醒来。 "
"enemy_blob","Blob","軟泥怪","Blob"
"enemy_blobelite","Oozer","巨型軟泥怪","Oozer"
"enemy_boar","Boar","鬢豬","鬓猪"
"enemy_boarpiggy","Piggy","豬","小猪猪"
"enemy_bonemass","Bonemass","邪骨惡靈","邪骨恶灵"
"enemy_deathsquito","Deathsquito","殺人蜂","杀人蜂"
"enemy_deer","Deer","鹿","鹿"
"enemy_dragon","Moder","冰霜龍母","冰霜龙母"
"enemy_drake","Drake","霜龍","霜龙"
"enemy_draugr","Draugr","屍鬼","尸鬼"
"enemy_draugrelite","Draugr elite","屍鬼精英","尸鬼精英"
"enemy_eikthyr","Eikthyr","赤血靈鹿","赤血灵鹿"
"enemy_fenring","Fenring","芬林","芬里"
"enemy_gdking","The Elder","古樹長老","古树长老"
"enemy_ghost","Ghost","幽靈","幽灵"
"enemy_goblin","Fuling","哥布林","丑地精"
"enemy_goblinbrute","Fuling Berserker","哥布林狂戰士","丑地精狂战士"
"enemy_goblinking","Yagluth","亞格魯斯","亚格鲁斯"
"enemy_goblinshaman","Fuling shaman","哥布林薩滿","丑地精萨满"
"enemy_greydwarf","Greydwarf","灰矮人","灰矮人"
"enemy_greydwarfbrute","Greydwarf brute","灰矮人暴徒","灰矮人暴徒"
"enemy_greydwarfshaman","Greydwarf shaman","灰矮人薩滿","灰矮人萨满"
"enemy_greyling","Greyling","小灰矮人","灰宝宝"
"enemy_leech","Leech","水蛭","蚂蟥"
"enemy_lox","Lox","平原氂牛","平原牦牛"
"enemy_neck","Neck","蜥蜴精","蜥蜴精"
"enemy_serpent","Serpent","蛟龍","蛟龙"
"enemy_skeleton","Skeleton","骷髏","骷髅怪"
"enemy_skeletonpoison","Rancid remains","腐臭遺骸","腐臭遗骸"
"enemy_stonegolem","Stone Golem","石高崙","石魔哥伦"
"enemy_surtling","Surtling","焰靈","焰灵"
"enemy_troll","Troll","巨魔","巨魔"
"enemy_wolf","Wolf","狼","狼"
"enemy_wolfcub","Wolf cub","幼狼","狼宝宝"
"enemy_wraith","Wraith","鬼魅","鬼魅"
"error_alreadyconnected","Already connected","已經連接","已经连接"
"error_banned","Banned","你被封鎖","已封禁"
"error_disconnected","Disconnected","已斷開連接","已断开连接"
"error_failedconnect","Failed to connect","連接失敗","连接失败"
"error_incompatibleversion","Incompatible version","不相容的版本","版本不兼容"
"error_password","Wrong password","密碼錯誤","密码错误"
"error_serverfull","Server full","伺服器已滿","服务器已满员"
"event_bonemassarmy_end","The smell is gone","味道飄散了","味道飘散了"
"event_bonemassarmy_start","A foul smell from the swamp","一股來自沼澤惡臭","一股来自沼泽恶臭"
"event_boss01_end","Eikthyr defeated","赤血靈被被擊敗了","赤血灵被被打败了"
"event_boss01_start","Eikthyr is awakened","赤血靈鹿甦醒了","赤血灵鹿被惊醒了"
"event_boss02_end","The Elder defeated","古樹長老被擊敗了","古树长老被打败了"
"event_boss02_start","The Elder is awakened","古樹長老甦醒了","古树长老被惊醒了"
"event_boss03_end","Bonemass defeated","邪骨惡靈被擊敗了","邪骨恶灵被打败了"
"event_boss03_start","Bonemass is awakened","邪骨惡靈甦醒了","邪骨恶灵被惊醒了"
"event_boss04_end","Moder defeated","冰霜飛龍被擊敗了","冰霜飞龙被打败了"
"event_boss04_start","Moder is awakened","冰霜飛龍甦醒了","冰霜飞龙被惊醒了"
"event_boss05_end","King Yagluth defeated","王者亞格魯斯被擊敗了","王者亚格鲁斯被打败了"
"event_boss05_start","King Yagluth is awakened","王者亞格魯斯甦醒了","王者亚格鲁斯被惊醒了"
"event_eikthyrarmy_end","The creatures are calming down","生靈漸漸冷靜下來","生灵渐渐平息"
"event_eikthyrarmy_start","Eikthyr rallies the creatures of the forest","赤血靈鹿召集了林中生靈","赤血灵鹿召集了林中生灵"
"event_foresttrolls_end","The shakes starts to fade","晃動開始消去","晃动开始消退"
"event_foresttrolls_start","The ground is shaking","大地正在搖晃","地面正在晃动"
"event_gdkingarmy_end","The forest rests again","樹林恢復了平静","树林恢复了平静"
"event_gdkingarmy_start","The forest is moving...","樹林正在移動…","树林在移动……"
"event_goblinarmy_end","The horde is retreating","部落正在撤退中","部落在撤退"
"event_goblinarmy_start","The horde is attacking","部落發起了進攻","部落在发起进攻"
"event_moderarmy_end","The cold wind is gone","寒風停息了","寒风停息了"
"event_moderarmy_start","A cold wind blows from the mountains","寒風從山脈吹來","寒风从山脉吹来"
"event_skeletons_end","Skeletons are tired of fighting","骸骨開始失去戰意","骷髅逐渐筋疲力尽累了"
"event_skeletons_start","Skeleton surprise","骸骨開始蠢蠢欲動","骷髅惊起"
"event_surtlings_end","The smell is fading","味道散去了","味道散去了"
"event_surtlings_start","There's a smell of sulfur in the air...","空氣充滿硫磺的味道…","空气中有硫磺的味道……"
"event_wolves_end","The hunt is over","捕獵結束了","猎杀停止"
"event_wolves_start","You are being hunted...","你正在被獵殺…","你正在被猎杀……"
"feedback_bug","Bug","臭蟲","Bug"
"feedback_feedback","Feedback","回饋","反馈"
"feedback_idea","Idea","想法","想法"
"feedback_send","Send","發送","发送"
"feedback_subject","Subject","主題","主题"
"feedback_text","Write something","寫點什麼吧","写点什么吧"
"feedback_topic","Feedback","回饋","反馈"
"guardianstone_bonemass_desc","Wanderer, look to your feet\nThat tread upon our tomb\nOne thousand bones without their meat\nWill drag you to your doom","遊蕩者，看看你的腳下吧\n那踏在我們墳墓上的腳步\n成千上萬的沒有肉體的骨架\n它們會帶你墜入深淵","游荡者，看看你的脚下吧\n那踏在我们坟墓上的脚步\n成千上万的没有肉体的骨架\n它们会带你坠入深渊"
"guardianstone_eikthyr_desc","His antlers are branches of iron\nThey crack the rocks and bring down mountains\nHis hooves are the sound of thunder\nHis voice a howling gale","他的犄角是鋼鐵一般的存在\n可以開山劈石\n他的蹄聲如雷貫耳\n他的聲音尖利沙啞","他的犄角是钢铁一般的存在\n可以开山劈石\n他的蹄声如雷贯耳\n他的声音尖利沙哑"
"guardianstone_hook_activate","Activate power","啟動神力","激活神力"
"guardianstone_hook_deactivate","Release power","解除神力","解除神力"
"guardianstone_hook_name","Trophy hook","戰利品鉤掛","战利品钩挂"
"guardianstone_hook_power_activate","Activated","已啟動","已激活"
"guardianstone_hook_power_deactivate","Released","已解除","已解除"
"guardianstone_moder_desc","Black wings across the moon and sun\nDown from the mountain our mother comes\nHer weeping tears will fall like rain\nHer voice will call us home again","黑色的翅膀遮住了太陽和月亮\n槽旋在山峰上的是龍之母\n她的眼淚會化成雨\n她的哀鳴在召喚我們回家","黑色的翅膀遮住了太阳和月亮\n盘旋在山峰上的是龙之母\n她的眼泪会化成雨\n她的哀鸣在召唤我们回家"
"guardianstone_name","Sacrificial stone","獻祭石","献祭石"
"guardianstone_theelder_desc","First of the Forest, King-in-the-Wood\nLord over those who dwell at his feet\nHis roots will grow where cities once stood\nTheir blood his wine, their flesh his meat","森之最，林中王\n居住在這裡的人都臣服在他腳下\n他在曾經繁榮的土地上肆意生長\n鮮血是他的紅酒，血肉是他的美食。","森之最，林中王\n居住在这里的人都臣服在他脚下\n他在曾经繁荣的土地上肆意生长\n鲜血是他的红酒，血肉是他的美食。 "
"guardianstone_trophyplaced","Forsaken sacrificed","已獻祭給被遺忘者","已献祭给被遗忘者"
"guardianstone_yagluth_desc","Long ages past, he wore a crown\nBeneath a blood-red sky\nNow naught is left of all he was\nBut his spirit cannot die","很久很久以前，他還帶著皇冠\n在血紅色的蒼穹之下\n而現在，他一無所有\n但他的靈魂卻一直在徘徊","很久很久以前，他还带着皇冠\n在血红色的苍穹之下\n而现在，他一无所有\n但他的灵魂却一直在徘徊"
"hud_addpin","Add pin","增加標記","添加标记"
"hud_altplace","Toggle snapping / options","切換自動對齊/手動對齊","切换附着/选项"
"hud_build","Build","建造","建造"
"hud_building","Building","建材","建材"
"hud_buildmenu","Build menu","建造選單","建造菜单"
"hud_crafting","Crafting","工藝合成","工艺合成"
"hud_equipping","Equipping","裝備中","装备中"
"hud_furniture","Furniture","家具","家具"
"hud_hidemap","Hide map","隱藏地圖","隐藏地图"
"hud_misc","Misc","其他","其他"
"hud_nothingtobuild","Nothing to build","沒有東西可以建造","无法建造"
"hud_pet","Pet","撫摸","摸摸头"
"hud_place","Place","放置","放置"
"hud_powernotready","Power not ready","技能在冷却","技能在冷却"
"hud_publicpos","Visible to other players","對其他玩家公開位置","对其他玩家可见"
"hud_ready","Ready","準備就緒","准备就绪"
"hud_remove","Remove","移除","移除"
"hud_removepin","Remove pin","移除標記","移除标记"
"hud_repair","Repair","修理","修复"
"hud_require","Require","需求","必须要"
"hud_rotate","Rotate","旋轉","旋转"
"hud_showmap","Show map","顯示地圖","显示地图"
"hud_switchcategory","Switch category","切換類別","切换类别"
"hud_switchitem","Switch item","切換物品","切换物品"
"hud_tame","Tame","馴養","驯养"
"hud_tamecheck","Check","觀察","观察"
"hud_tamedone","has been tamed","已被馴服","已被驯服"
"hud_tamefollow","follows you","跟隨你","跟随你"
"hud_tamefrightened","Frightened","不安的","不安的"
"hud_tamehappy","Happy","開心","开心"
"hud_tamehungry","Hungry","餓了","饿了"
"hud_tameinprogress","Acclimatizing","正在適應環境","正在适应环境"
"hud_tamelove","loves you","愛上你","爱你哦"
"hud_tameness","Tameness","馴化","驯化"
"hud_tamestay","stays","留下","留下"
"hud_unequipping","Unequipping","解除裝備中","解除装备中"
"hud_wild","Wild","野生","野生"
"hud_zoom","Zoom","縮放","缩放"
"inventory_activeeffects","Active effects","啟用中效果","活跃效果"
"inventory_blunt","Blunt","錘擊","锤击"
"inventory_chop","Chop","切剁","切剁"
"inventory_craftbutton","Craft","製作","制作"
"inventory_crafting","Crafting","製作中","制作中"
"inventory_craftingprog","Crafting","製作中","制作中"
"inventory_damage","Damage","傷害","伤害"
"inventory_dmgmod","Damage modifier","護甲加成","护甲加成"
"inventory_fire","Fire","火焰","火焰"
"inventory_frost","Frost","冰霜","冰霜"
"inventory_full","Inventory full","背包已滿","物品栏已满"
"inventory_immune","Immune","免疫","免疫"
"inventory_lightning","Lightning","閃電","闪电"
"inventory_logs","Message log","訊息記錄","消息记录"
"inventory_maxquality","Max quality","最高品質","最高品质"
"inventory_move","Move","移動","移动"
"inventory_new","New item","新物品","新物品"
"inventory_pickaxe","Pickaxe","鎬","镐"
"inventory_pickup","Pick up","撿起","捡起"
"inventory_pierce","Pierce","戳刺","戳刺"
"inventory_poison","Poison","蠱毒","蛊毒"
"inventory_pvp","Take damage from other players (PVP)","可被其他玩家攻擊（PVP）","可被其他玩家攻击（PVP）"
"inventory_quality","Quality","品質","品质"
"inventory_recipes","Recipes","配方","配方"
"inventory_repairbutton","Repair an item","修復物品","修复物品"
"inventory_resistant","Resistant","抗性","抗性"
"inventory_selectedgp","Selected Forsaken power","已選擇放逐之力","已选择放逐之力"
"inventory_skills","Skills","技能","技能"
"inventory_slash","Slash","劈砍","劈砍"
"inventory_spirit","Spirit","精神","精神"
"inventory_split","Split","拆分","拆分"
"inventory_splitstack","Split stack","拆分","分拆"
"inventory_stationlevel","Station level (Raise by building improvements)","工作檯等級（通過建造改善設備升級）","制作台等级（通过建造改善设备升级）"
"inventory_stationlevelreq","Required station level","工作檯等級太低","制作台需要等级"
"inventory_style","Style","風格","风格"
"inventory_takeall","Take all","全部拿取","全部拿取"
"inventory_texts","Valheim Compendium","Valheim 手冊","英灵神殿概要"
"inventory_totalskill","Total skill","總技能數","总技能数"
"inventory_trophies","Trophies","戰利品","战利品"
"inventory_upgrade","Upgrade $1 quality to $2","將$1 品質升級到$2","将$1品质升级到$2"
"inventory_upgradebutton","Upgrade","升級","升级"
"inventory_use","Use/Equip ","使用/裝備","使用/装备"
"inventory_veryresistant","Very resistant","超強抗性","超强抗性"
"inventory_veryweak","Very weak","非常虛弱","非常虚弱"
"inventory_weak","Weak","虛弱","虚弱"
"item_amber","Amber","琥珀","琥珀"
"item_amber_description","<color=yellow>Valuable</color>","<color=yellow>價值連城</color>","<color=yellow>价值连城</color>"
"item_amberpearl","Amber pearl","琥珀珍珠","琥珀珍珠"
"item_amberpearl_description","<color=yellow>Valuable</color>","<color=yellow>價值連城</color>","<color=yellow>价值连城</color>"
"item_ancientseed","Ancient seed","上古種子","上古种子"
"item_ancientseed_description","Held against your ear, you hear tiny whisperings within...","貼近耳朵可以聽到輕微的低語……","贴近耳朵可以听到轻微的低语……"
"item_armor","Armor","護甲","护甲"
"item_arrow_bronze","Bronzehead arrow","青銅箭","青铜箭"
"item_arrow_bronze_description","Sharper than flint, a sleek messenger of death.","比燧石箭更鋒利，造型優美的死神信差。","比燧石箭更锋利，造型优美的死神信差。 "
"item_arrow_fire","Fire arrow","燃燒箭","燃烧的箭"
"item_arrow_fire_description","This arrow burns whatever it pierces.","這種箭能點燃射中的一切。","这种箭能点燃射中的一切。 "
"item_arrow_flint","Flinthead arrow","燧石箭","燧石箭"
"item_arrow_flint_description","A hide-breaker with a head of flint.","箭頭為燧石，能刺破毛皮。","箭头为燧石，能刺破毛皮。 "
"item_arrow_frost","Frost arrow","霜箭","霜箭"
"item_arrow_frost_description","A shard of piercing ice.","一塊尖利的碎片。","一块尖利的碎片。 "
"item_arrow_iron","Ironhead arrow","鐵頭箭","铁头箭"
"item_arrow_iron_description","Capped with iron and flighted with dark feathers.","箭頭包鐵，箭尾有黑色羽毛。","箭头包铁，箭尾有黑色羽毛。 "
"item_arrow_needle","Needle arrow","蜂針箭","蜂针箭"
"item_arrow_needle_description","The final stitch.","終極箭法。","终极箭法。 "
"item_arrow_obsidian","Obsidian arrow","黑曜石箭","黑曜石箭"
"item_arrow_obsidian_description","A sliver of darkness.","黑暗中的裂片。","一线无尽的黑暗。 "
"item_arrow_poison","Poison arrow","毒箭","毒箭"
"item_arrow_poison_description","A bitter sting from afar.","遠處射來的苦痛之螫。","远处射来的苦痛之叮。 "
"item_arrow_silver","Silver arrow","銀箭","银制箭"
"item_arrow_silver_description","A needle to calm restless spirits.","一針平息那些無法安息的靈魂。","平息躁动灵魂的尖针。 "
"item_arrow_wood","Wood arrow","木箭","木箭"
"item_arrow_wood_description","An arrow of sharpened wood.","用削尖的木頭做的箭。","用削尖的木头做的箭。 "
"item_atgeir_blackmetal","Blackmetal atgeir","黑金屬戟","黑金属戟"
"item_atgeir_blackmetal_description","A vicious hewing-axe of almost unbreakable black metal.","一把堅不可摧的詭邪斬斧。","一把坚不可摧的诡邪斩斧。 "
"item_atgeir_bronze","Bronze atgeir","青銅戟","青铜戟"
"item_atgeir_bronze_description","A true warrior's tool.","真正的戰士武器。","真正的战士武器。 "
"item_atgeir_iron","Iron atgeir","鐵戟","铁戟"
"item_atgeir_iron_description","Blood-drinker, skull-cracker, death-bringer.","“飲血者”、“碎骨器”、“死亡使者”","饮血者，碎骨器，死亡使者。 "
"item_axe_blackmetal","Blackmetal axe","黑金屬斧","黑金属斧"
"item_axe_blackmetal_description","A perfectly-balanced axe forged from dark metal with an emerald sheen.","一把完美的黑金屬斧，閃著翡翠般的光澤。","一把完美的黑金属斧，闪着翡翠般的光泽。 "
"item_axe_bronze","Bronze axe","青銅斧","青铜斧"
"item_axe_bronze_description","A bright and burnished blade, curved like a smile.","閃亮光滑的斧刃，彎曲的形狀像是在微笑。","闪亮光滑的斧刃，弯曲的形状像是在微笑。 "
"item_axe_flint","Flint axe","燧石斧","燧石斧"
"item_axe_flint_description","Sharper than stone.","比石斧更鋒利。","比石斧更锋利。 "
"item_axe_iron","Iron axe","鐵斧","铁斧"
"item_axe_iron_description","Sharp and strong, a woodcutter's friend.","鋒利而強大，伐木工的得力工具。","锋利而强大，伐木工的得力工具。 "
"item_axe_rusty","Rusty iron axe UNUSED","鏽鐵斧 未使用","锈铁斧未用过"
"item_axe_rusty_description","UNUSED","未使用","未用过"
"item_axe_stone","Stone axe","石斧","石斧"
"item_axe_stone_description","A crude axe for tree-felling.","粗糙的伐木斧。","粗糙的伐木斧。 "
"item_backstab","Backstab","背刺","背刺"
"item_barley","Barley","大麥","大麦"
"item_barley_description","A bundle of barley.","一捆大麥。","一捆大麦。 "
"item_barleyflour","Barley flour","大麥麵粉","大麦面粉"
"item_barleyflour_description","Great for baking bread.","最合適用來做麵包。","最合适用来做面包。 "
"item_barleywine","Fire resistance barley wine","抗火大麥酒","抗火大麦酒"
"item_barleywine_description","Fortifies you against fire.","讓你不懼烈焰。","让你不惧烈焰。 "
"item_barleywinebase","Barley wine base: Fire resistance","大麥酒基底：抗火","大麦酒主成分：抗火"
"item_battleaxe","Battleaxe","戰斧","战斧"
"item_battleaxe_description","Skull-splitter, a warrior's joy.","骷髏切割器，戰士的最愛。","骷髅切割器，战士的最爱。 "
"item_beechseeds","Beech seeds","山毛櫸種子","山毛榉种子"
"item_beechseeds_description","Plant them to grow a beech tree.","種下就能長成山毛櫸樹。","种下就能长成山毛榉树。 "
"item_beltstrength","Megingjord","梅金吉奧德腰帶","梅金吉奧德腰带"
"item_beltstrength_description","Gives the wearer superhuman strength.","能賦予佩戴者超凡的力量。","能赋予佩戴者超凡的力量。 "
"item_blackmetal","Black metal","黑金屬","黑金属"
"item_blackmetal_description","A heavy bar of dark metal.","一塊沉重的黑暗金屬。","一块沉重的黑暗金属。 "
"item_blackmetalscrap","Black metal scrap","黑金屬碎片","黑金属碎片"
"item_blackmetalscrap_description","A twisted hunk of dark metal.","一塊扭曲的黑暗金屬。","一块扭曲的黑暗金属。 "
"item_blockpower","Block power","格擋","格挡"
"item_bloodbag","Bloodbag","血袋","血袋"
"item_bloodbag_description","The contents of a leech. Ick!","水蛭的內臟。 嘔！","蚂蝗的内脏。 呕！"
"item_bloodpudding","Blood pudding","血豆腐","血旺"
"item_bloodpudding_description","It's bloody tasty.","這也太好吃了吧！","这也太好吃了吧！"
"item_blueberries","Blueberries","藍莓","蓝莓"
"item_blueberries_description","Tiny but tasty.","小巧好吃。","小巧好吃。 "
"item_bonefragments","Bone fragments","白骨碎片","白骨碎片"
"item_bonefragments_description","A pile of shattered bones.","一堆破碎的白骨。","一堆破碎的白骨。 "
"item_bow","Crude bow","粗弓","粗弓"
"item_bow_description","A crude but functional bow.","粗糙但能用的弓。","粗糙但能用的弓。 "
"item_bow_draugrfang","Draugr fang","屍鬼之牙","尸鬼之牙"
"item_bow_draugrfang_description","Dark wood strung with glistening sinew, a vicious thing.","黑暗強韌的木製帶閃光的肌腱，一個邪惡的物件。","黑暗强韧的木制带闪光的肌腱，一个邪恶的物件。 "
